xLCC,yLCC,date,BC,var
349438,4324470,201808,0.573833374996006,0.0344693151427885
349514,4324470,201808,0.573727555480643,0.0344546981511072
349589,4324470,201808,0.573621528955684,0.034439976525076
349665,4324470,201808,0.573512481449202,0.0344247531306997
349740,4324470,201808,0.573403299583583,0.0344094241821802
349816,4324470,201808,0.573291093305759,0.0343935765218328
349891,4324470,201808,0.573178841017665,0.0343776229948408
349967,4324470,201808,0.573063580405413,0.0343611340329941
350042,4324470,201808,0.572948380557238,0.0343445396397232
350118,4324470,201808,0.572830211998088,0.0343273934899474
350193,4324470,201808,0.572712232588322,0.0343101432579625
350269,4324470,201808,0.572591352304862,0.0342923255676869
350344,4324470,201808,0.572470814881481,0.0342744062546908
350420,4324470,201808,0.572347478144881,0.0342559046637866
350495,4324470,201808,0.572224667624491,0.0342373052507809
350571,4324470,201808,0.572099199491529,0.0342181099354463
350646,4324470,201808,0.571974475582361,0.0341988222100597
350722,4324470,201808,0.571847283361039,0.0341789265242935
350797,4324470,201808,0.571721093793901,0.0341589457666298
350873,4324470,201808,0.571592681442688,0.0341383469938687
350948,4324470,201808,0.571465577205904,0.0341176727771143
351024,4324470,201808,0.571336561852915,0.0340963730039668
351099,4324470,201808,0.571209214595455,0.0340750101206979
351175,4324470,201808,0.571080345314547,0.0340530172425387
351250,4324470,201808,0.570953567011975,0.0340309767644733
351326,4324470,201808,0.57082574589598,0.034008305628097
351401,4324470,201808,0.570700510746489,0.0339856061009349
351477,4324470,201808,0.570574816149617,0.0339622797813226
351552,4324470,201808,0.570452284455087,0.0339389485459468
351628,4324470,201808,0.570329996005343,0.03391499974089
351703,4324470,201808,0.570211539459613,0.0338910743558336
351779,4324470,201808,0.570094164027974,0.0338665468617675
351854,4324470,201808,0.569981391338636,0.0338420765774367
351930,4324470,201808,0.569870688549255,0.0338170267802195
352005,4324470,201808,0.569765469615119,0.0337920739808569
352081,4324470,201808,0.569663474646612,0.033766572254541
352156,4324470,201808,0.569567960564326,0.0337412137379162
352232,4324470,201808,0.569477000902159,0.0337153455921234
352307,4324470,201808,0.569393635878378,0.0336896734999551
352383,4324470,201808,0.569316337358616,0.0336635402545016
352458,4324470,201808,0.569247857226158,0.0336376624031112
352534,4324470,201808,0.569187133286225,0.0336113811045983
352609,4324470,201808,0.569136543958378,0.0335854204065042
352685,4324470,201808,0.569095560767215,0.0335591226516581
352760,4324470,201808,0.569066088998842,0.0335332152856811
352836,4324470,201808,0.569048198581777,0.0335070446071597
352911,4324470,201808,0.569043207453061,0.0334813366190791
352987,4324470,201808,0.569051841784688,0.0334554441582935
353062,4324470,201808,0.569074705178802,0.0334300862954747
353138,4324470,201808,0.569113227319635,0.0334046246731551
353213,4324470,201808,0.569167162089487,0.033379765508845
353289,4324470,201808,0.569238676387629,0.0333548811309221
353364,4324470,201808,0.569326538184398,0.0333306589220026
353440,4324470,201808,0.569433670179165,0.0333064834048887
353515,4324470,201808,0.569557728276639,0.033283017597612
353591,4324470,201808,0.569702394728285,0.0332596594717133
353666,4324470,201808,0.569864110393378,0.0332370431954877
353742,4324470,201808,0.570047307866826,0.0332145813863504
353817,4324470,201808,0.570247146484524,0.033192876475163
353893,4324470,201808,0.570468789502067,0.033171357082936
353968,4324470,201808,0.570706095442558,0.0331505929768535
354044,4324470,201808,0.570964929802882,0.033130030462719
354119,4324470,201808,0.571237883610253,0.0331102077272425
354195,4324470,201808,0.571531487352699,0.0330905908177687
354270,4324470,201808,0.571837149307161,0.0330716891158976
354346,4324470,201808,0.572162016765083,0.0330529907773805
354421,4324470,201808,0.57249644424933,0.0330349802179315
354497,4324470,201808,0.572848133476604,0.0330171702404035
354572,4324470,201808,0.573206547547826,0.0330000243947994
354648,4324470,201808,0.573579863123405,0.0329830826990447
354723,4324470,201808,0.573956835866643,0.0329667913844723
354799,4324470,201808,0.574346019635106,0.0329507201897402
354874,4324470,201808,0.574735658405685,0.0329353003309945
354950,4324470,201808,0.575134568628663,0.032920133688979
355025,4324470,201808,0.575530683484844,0.0329056370350269
355101,4324470,201808,0.575932954624139,0.0328914467593663
355176,4324470,201808,0.576329207283352,0.0328779637591599
355252,4324470,201808,0.576728394393019,0.0328648612947145
355327,4324470,201808,0.577118437472679,0.0328525209039305
355403,4324470,201808,0.577508157928987,0.0328406551015162
355478,4324470,201808,0.57788577958084,0.0328296206553418
355554,4324470,201808,0.578259868586115,0.0328191717382296
355629,4324470,201808,0.578619158287373,0.0328096333038707
355705,4324470,201808,0.57897185197179,0.0328008035667135
355780,4324470,201808,0.579307397310292,0.0327929674217478
355856,4324470,201808,0.579633547894797,0.0327859694253267
355931,4324470,201808,0.579940659883347,0.0327800455166863
356007,4324470,201808,0.580235972323942,0.0327750887384981
356082,4324470,201808,0.580510920229977,0.0327712771480707
356158,4324470,201808,0.580772182463612,0.0327685541870398
356233,4324470,201808,0.581012403024299,0.0327670317180263
356309,4324470,201808,0.581237668295201,0.0327667051794357
356384,4324470,201808,0.581441905124031,0.0327676131364536
