xLCC,yLCC,date,BC,var
349438,4324470,201710,0.843263499872051,0.746301787374336
349514,4324470,201710,0.842293198202684,0.745747884254442
349589,4324470,201710,0.842710796410748,0.745257679686059
349665,4324470,201710,0.840738461062469,0.744718828941795
349740,4324470,201710,0.84138383145233,0.744140350550725
349816,4324470,201710,0.837733719905524,0.743678603601155
349891,4324470,201710,0.837338351651334,0.743121080469351
349967,4324470,201710,0.830777578028495,0.742731610847689
350042,4324470,201710,0.82820600103732,0.742264461458608
350118,4324470,201710,0.827728498732612,0.741677111891914
350193,4324470,201710,0.825191256695598,0.741303613572246
350269,4324470,201710,0.826109717478368,0.740712308831414
350344,4324470,201710,0.827576002476348,0.740353373383662
350420,4324470,201710,0.810687281581839,0.739150783358201
350495,4324470,201710,0.807518300148927,0.738647539135565
350571,4324470,201710,0.817167754868478,0.738244090463405
350646,4324470,201710,0.853136277777066,0.737840912106315
350722,4324470,201710,0.834662039270853,0.737806802358208
350797,4324470,201710,0.833058048351803,0.737324819659317
350873,4324470,201710,0.790220759452542,0.737094770979443
350948,4324470,201710,0.737476259943436,0.736931112241513
351024,4324470,201710,0.733933404933526,0.736077093294106
351099,4324470,201710,0.695858059789824,0.735341680866532
351175,4324470,201710,0.641403830795676,0.736714435929396
351250,4324470,201710,0.554022378044004,0.741125103482713
351326,4324470,201710,0.553793079443093,0.740574097338794
351401,4324470,201710,0.553769074297275,0.739780854575346
351477,4324470,201710,0.553749054617564,0.738969932346419
351552,4324470,201710,0.551877108211234,0.737863273737997
351628,4324470,201710,0.551863022638288,0.737039183676
351703,4324470,201710,0.552341751179123,0.736452963409908
351779,4324470,201710,0.552335828585327,0.735618613885967
351854,4324470,201710,0.552335162500092,0.734791884305225
351930,4324470,201710,0.554300514532737,0.733804696281805
352005,4324470,201710,0.55428240304108,0.732970288882799
352081,4324470,201710,0.558451831092393,0.73189962288917
352156,4324470,201710,0.559068304122826,0.73124435771719
352232,4324470,201710,0.559053601925948,0.730402900805999
352307,4324470,201710,0.559533211415545,0.729259226188324
352383,4324470,201710,0.561065529125576,0.728524659424419
352458,4324470,201710,0.571364933579609,0.727662210230011
352534,4324470,201710,0.571158788617082,0.726826302642805
352609,4324470,201710,0.571156129898196,0.726022387579692
352685,4324470,201710,0.571423894807819,0.725437943320617
352760,4324470,201710,0.571652528076782,0.724542012134716
352836,4324470,201710,0.571660581347389,0.723768941840634
352911,4324470,201710,0.567345511767648,0.723146066787868
352987,4324470,201710,0.567339636931861,0.722408288166971
353062,4324470,201710,0.568419662214588,0.721655712999987
353138,4324470,201710,0.574527780250653,0.721166003767895
353213,4324470,201710,0.577505673604157,0.720238182889367
353289,4324470,201710,0.579271346081472,0.719574979952794
353364,4324470,201710,0.582283422900313,0.719054251736791
353440,4324470,201710,0.589713550513375,0.718797118049721
353515,4324470,201710,0.584250268339103,0.718198883223018
353591,4324470,201710,0.590631474706499,0.71795034356318
353666,4324470,201710,0.591528867758064,0.717483421368135
353742,4324470,201710,0.59537254969012,0.717147144603112
353817,4324470,201710,0.600157255518452,0.716748519201949
353893,4324470,201710,0.625843570966186,0.716419883465975
353968,4324470,201710,0.608880653043645,0.716221403987354
354044,4324470,201710,0.610623333861127,0.715858471371707
354119,4324470,201710,0.609034657384811,0.71586605923909
354195,4324470,201710,0.618161087617101,0.715998058413736
354270,4324470,201710,0.684414421120094,0.712784485998101
354346,4324470,201710,0.616459297789156,0.711637251664088
354421,4324470,201710,0.604805439634687,0.7115899287802
354497,4324470,201710,0.592934493611635,0.711602651749975
354572,4324470,201710,0.569733007525008,0.713804184525673
354648,4324470,201710,0.579457235482174,0.713120921741042
354723,4324470,201710,0.593091157831479,0.712993994878807
354799,4324470,201710,0.596721642955706,0.712307148580406
354874,4324470,201710,0.593945279734523,0.712551237812038
354950,4324470,201710,0.626818571176844,0.712209780783195
355025,4324470,201710,0.654032247821026,0.708618851415767
355101,4324470,201710,0.654224263660183,0.709323018982111
355176,4324470,201710,0.646318580376169,0.709720353672712
355252,4324470,201710,0.649455282982425,0.710630433952946
355327,4324470,201710,0.65157707652057,0.71006491400116
355403,4324470,201710,0.642837861584749,0.709809613361793
355478,4324470,201710,0.625124803466895,0.710771493888416
355554,4324470,201710,0.631623133296226,0.712700845244372
355629,4324470,201710,0.640010243588359,0.714218525715176
355705,4324470,201710,0.647991933924916,0.715822379576094
355780,4324470,201710,0.64949280700264,0.717598931005788
355856,4324470,201710,0.655378302024673,0.724945597795306
355931,4324470,201710,0.650673624008836,0.724940759271681
356007,4324470,201710,0.651283215090724,0.724445591719608
356082,4324470,201710,0.647226021542988,0.724507793103535
356158,4324470,201710,0.658959601183269,0.724332432363006
356233,4324470,201710,0.660870222266026,0.724719039969437
356309,4324470,201710,0.666726064278991,0.72474132494344
356384,4324470,201710,0.653528734795784,0.725200134721828
356460,4324470,201710,0.647082256275395,0.725494559860312
356535,4324470,201710,0.630023410507685,0.72577759060661
356611,4324470,201710,0.623519473904599,0.725777806218246
356686,4324470,201710,0.61825319600331,0.726631820040614
356762,4324470,201710,0.592224351909567,0.732303014267176
356837,4324470,201710,0.593462365755371,0.73186028981883
356913,4324470,201710,0.606665136244876,0.73259667717744
356988,4324470,201710,0.604684533118794,0.733206283716967
357064,4324470,201710,0.604802136999768,0.733878067567917
357139,4324470,201710,0.608648987392886,0.734387298028536
357215,4324470,201710,0.611982664137482,0.734905312723213
357290,4324470,201710,0.613341638780473,0.73586247822365
357366,4324470,201710,0.614879504241761,0.736933555241484
357441,4324470,201710,0.614917860238119,0.737703430526512
357517,4324470,201710,0.686512228222884,0.732711101876378
357592,4324470,201710,0.686221076735382,0.732920773003626
357668,4324470,201710,0.699822427813822,0.733429750780881
357743,4324470,201710,0.690429452911384,0.73423040881262
357819,4324470,201710,0.693975299686305,0.735889703282277
357894,4324470,201710,0.712086751085193,0.736872465322255
357970,4324470,201710,0.715275616078823,0.738077913202283
358045,4324470,201710,0.720149452728625,0.739500211426739
358121,4324470,201710,0.739228727452254,0.740475609912458
358196,4324470,201710,0.739576747918727,0.741451294765871
358272,4324470,201710,0.734445659882781,0.742439618091266
358347,4324470,201710,0.736677407221691,0.74400892065217
358423,4324470,201710,0.676809700563069,0.738660409371004
358498,4324470,201710,0.641864788160186,0.737005103526716
358574,4324470,201710,0.634244830502812,0.737710605108625
