xLCC,yLCC,BC
349438,4324470,0.581046827457709
349514,4324470,0.581053854954287
349589,4324470,0.581061245117941
349665,4324470,0.581069227628754
349740,4324470,0.581077626882011
349816,4324470,0.581086704597576
349891,4324470,0.581096261795285
349967,4324470,0.581106597062383
350042,4324470,0.581117484683603
350118,4324470,0.581129265718206
350193,4324470,0.581141683831088
350269,4324470,0.581155129064359
350344,4324470,0.58116930996308
350420,4324470,0.581184673118577
350495,4324470,0.581200886733335
350571,4324470,0.581218462741306
350646,4324470,0.581237022928335
350722,4324470,0.581257154786579
350797,4324470,0.581278426605458
350873,4324470,0.581301513292191
350948,4324470,0.581325921368118
351024,4324470,0.581352426895276
351099,4324470,0.581380464938092
351175,4324470,0.581410928595634
351250,4324470,0.581443170095754
351326,4324470,0.581478217867465
351401,4324470,0.58151532789831
351477,4324470,0.581555684911513
351552,4324470,0.58159843282042
351628,4324470,0.581644936504907
351703,4324470,0.581694209046272
351779,4324470,0.581747822395275
351854,4324470,0.581804636522872
351930,4324470,0.58186646044095
352005,4324470,0.581931974500989
352081,4324470,0.58200325766209
352156,4324470,0.582078779091242
352232,4324470,0.582160922999291
352307,4324470,0.58224790983082
352383,4324470,0.582342465893606
352458,4324470,0.582442518455921
352534,4324470,0.582551172935113
352609,4324470,0.582666011221758
352685,4324470,0.582790553100251
352760,4324470,0.582921974657129
352836,4324470,0.583064241108137
352911,4324470,0.583214054334414
352987,4324470,0.583375849073905
353062,4324470,0.583545778101515
353138,4324470,0.583728760013897
353213,4324470,0.583920320328901
353289,4324470,0.584125863781087
353364,4324470,0.58434021267687
353440,4324470,0.58456924677326
353515,4324470,0.584807019079838
353591,4324470,0.585059859776372
353666,4324470,0.585321005623738
353742,4324470,0.585597200162762
353817,4324470,0.585880845553981
353893,4324470,0.586179050701816
353968,4324470,0.58648340119892
354044,4324470,0.586801313554225
354119,4324470,0.587123615552276
354195,4324470,0.587457963948043
354270,4324470,0.587794528198009
354346,4324470,0.588141127440729
354421,4324470,0.58848740898883
354497,4324470,0.588841264665234
354572,4324470,0.589191985913828
354648,4324470,0.589547434977426
354723,4324470,0.589896736413886
354799,4324470,0.590247608876497
354874,4324470,0.590589215073337
354950,4324470,0.590929007170762
355025,4324470,0.591256401894782
355101,4324470,0.591578457959031
355176,4324470,0.591885068843379
355252,4324470,0.592182775025406
355327,4324470,0.592462172790637
355403,4324470,0.592729168640776
355478,4324470,0.592975286682517
355554,4324470,0.59320569923748
355629,4324470,0.593413075813829
355705,4324470,0.59360177496718
355780,4324470,0.593765812362314
355856,4324470,0.593908676528589
355931,4324470,0.594025900579958
356007,4324470,0.594120069770494
356082,4324470,0.594188361447308
356158,4324470,0.594232444028053
356233,4324470,0.59425120612816
356309,4324470,0.594245400081403
356384,4324470,0.594215621093496
356460,4324470,0.594161714935699
356535,4324470,0.594085902278038
356611,4324470,0.5939871371671
356686,4324470,0.593869113682078
356762,4324470,0.593729914590452
356837,4324470,0.593574500684133
356913,4324470,0.593400113574763
356988,4324470,0.59321274361021
357064,4324470,0.593008836974529
357139,4324470,0.592795172347786
357215,4324470,0.592567466487649
357290,4324470,0.592333063334314
357366,4324470,0.592087037186461
357441,4324470,0.591837105888393
357517,4324470,0.591577805073298
357592,4324470,0.591317070801192
357668,4324470,0.591049013011091
357743,4324470,0.590781662579568
357819,4324470,0.590508817304077
357894,4324470,0.590238504842727
357970,4324470,0.589964317806492
358045,4324470,0.589694200867931
358121,4324470,0.58942163728037
358196,4324470,0.589154421892323
358272,4324470,0.588886011438177
358347,4324470,0.588623993919519
358423,4324470,0.588361869480766
358498,4324470,0.588106970748443
358574,4324470,0.587852899428695
358649,4324470,0.587606692471601
358725,4324470,0.587362100994721
358800,4324470,0.587125834318764
358876,4324470,0.586891831920778
358951,4324470,0.586666451958548
359027,4324470,0.586443853471938
359102,4324470,0.586230028143719
359178,4324470,0.586019378936273
359253,4324470,0.585817523445582
359329,4324470,0.585619126778321
359404,4324470,0.585429431731116
359480,4324470,0.585243378226566
359555,4324470,0.585065839456274
359631,4324470,0.584892037815895
359706,4324470,0.584726486908784
359782,4324470,0.584564694773221
359857,4324470,0.584410829175831
359933,4324470,0.584260683018526
360008,4324470,0.584118094695243
360084,4324470,0.583979137797752
360159,4324470,0.583847339612851
360235,4324470,0.58371904741305
360310,4324470,0.583597496669636
360386,4324470,0.583479299041367
360461,4324470,0.583367417868936
360537,4324470,0.583258718141524
360612,4324470,0.583155910651808
360688,4324470,0.583056101385928
360763,4324470,0.582961767696896
349438,4324540,0.581038555966858
349514,4324540,0.581045139585223
349589,4324540,0.581052068623683
349665,4324540,0.581059559295126
349740,4324540,0.581067447745087
349816,4324540,0.581075980815514
349891,4324540,0.58108497258482
349967,4324540,0.581094705227636
350042,4324540,0.58110496754278
350118,4324540,0.581116082517318
350193,4324540,0.581127809948848
350269,4324540,0.581140520026497
350344,4324540,0.581153939226964
350420,4324540,0.581168492396978
350495,4324540,0.581183867668279
350571,4324540,0.581200553247698
350646,4324540,0.581218193065874
350722,4324540,0.581237348847591
350797,4324540,0.581257613480088
350873,4324540,0.581279634056613
350948,4324540,0.581302944405739
351024,4324540,0.581328290798445
351099,4324540,0.581355138588773
351175,4324540,0.581384349285387
351250,4324540,0.581415308672569
351326,4324540,0.581449012117452
351401,4324540,0.581484752717105
351477,4324540,0.581523681192274
351552,4324540,0.581564982390116
351628,4324540,0.581609987046029
351703,4324540,0.581657753227009
351779,4324540,0.581709819739281
351854,4324540,0.581765095729057
351930,4324540,0.581825359631889
352005,4324540,0.581889345138403
352081,4324540,0.581959105276049
352156,4324540,0.58203316641323
352232,4324540,0.582113894124165
352307,4324540,0.582199569172777
352383,4324540,0.582292909775186
352458,4324540,0.582391905214028
352534,4324540,0.582499667163448
352609,4324540,0.582613838808684
352685,4324540,0.582737964743078
352760,4324540,0.582869277841364
352836,4324540,0.583011790996927
352911,4324540,0.583162252814338
352987,4324540,0.583325172588237
353062,4324540,0.583496732108016
353138,4324540,0.583681954615404
353213,4324540,0.583876367142427
353289,4324540,0.584085511116729
353364,4324540,0.584304171314454
353440,4324540,0.584538396706836
353515,4324540,0.584782151436786
353591,4324540,0.585041966517182
353666,4324540,0.585310927064068
353742,4324540,0.585596007255008
353817,4324540,0.585889386139226
353893,4324540,0.586198430954748
353968,4324540,0.586514428462576
354044,4324540,0.586845079254896
354119,4324540,0.587180837643475
354195,4324540,0.587529668423599
354270,4324540,0.587881299166002
354346,4324540,0.588243878854991
354421,4324540,0.588606554752235
354497,4324540,0.588977567023626
354572,4324540,0.589345661591129
354648,4324540,0.589719062357948
354723,4324540,0.59008631660867
354799,4324540,0.590455510596324
354874,4324540,0.590815211900524
354950,4324540,0.591173236836173
355025,4324540,0.591518403067708
355101,4324540,0.591858119254216
355176,4324540,0.592181690247406
355252,4324540,0.592495981133702
355327,4324540,0.592791025523722
355403,4324540,0.593073018827042
355478,4324540,0.593332965759388
355554,4324540,0.593576283411576
355629,4324540,0.59379518457058
355705,4324540,0.593994222880412
355780,4324540,0.594167040873985
355856,4324540,0.594317270378513
355931,4324540,0.59444017585434
356007,4324540,0.59453843523897
356082,4324540,0.594609079887603
356158,4324540,0.594653823780533
356233,4324540,0.594671544213051
356309,4324540,0.594662996119344
356384,4324540,0.594628900446921
356460,4324540,0.594569065601447
356535,4324540,0.594485965604169
356611,4324540,0.59437847777999
356686,4324540,0.59425065604512
356762,4324540,0.594100465388727
356837,4324540,0.593933303211648
356913,4324540,0.593746249817156
356988,4324540,0.593545775993481
357064,4324540,0.593328122217253
357139,4324540,0.593100561211826
357215,4324540,0.5928585624074
357290,4324540,0.592609954347672
357366,4324540,0.592349529468455
357441,4324540,0.59208546661463
357517,4324540,0.591811995409657
357592,4324540,0.591537482981764
357668,4324540,0.591255720762863
357743,4324540,0.590975139636845
357819,4324540,0.590689217233796
357894,4324540,0.590406351434938
357970,4324540,0.590119821701862
358045,4324540,0.589837914817638
358121,4324540,0.589553814004422
358196,4324540,0.589275629202053
358272,4324540,0.588996534026542
358347,4324540,0.588724404903127
358423,4324540,0.588452477845377
358498,4324540,0.588188347112468
358574,4324540,0.58792537022103
358649,4324540,0.587670818749754
358725,4324540,0.587418219860964
358800,4324540,0.587174490521265
358876,4324540,0.586933366408045
358951,4324540,0.58670138679436
359027,4324540,0.5864725267752
359102,4324540,0.58625293357004
359178,4324540,0.586036845587694
359253,4324540,0.585830011805918
359329,4324540,0.585626951556338
359404,4324540,0.585433016668006
359480,4324540,0.585243019303066
359555,4324540,0.585061921405101
359631,4324540,0.584884834709531
359706,4324540,0.584716343500371
359782,4324540,0.584551861201984
359857,4324540,0.584395610428332
359933,4324540,0.584243304342595
360008,4324540,0.584098822528903
360084,4324540,0.583958172458364
360159,4324540,0.583824910998416
360235,4324540,0.583695331612012
360310,4324540,0.583572689617014
360386,4324540,0.58345355385378
360461,4324540,0.583340899455511
360537,4324540,0.583231558285403
360612,4324540,0.583128246351696
360688,4324540,0.583028044958489
360763,4324540,0.582933431375951
349438,4324620,0.581029381322974
349514,4324620,0.581035459980289
349589,4324620,0.581041863620817
349665,4324620,0.581048793001276
349740,4324620,0.581056097556541
349816,4324620,0.581064006987988
349891,4324620,0.581072350182701
349967,4324620,0.581081390328761
350042,4324620,0.581090932730742
350118,4324620,0.581101279376102
350193,4324620,0.581112208463788
350269,4324620,0.581124067002091
350344,4324620,0.581136601986097
350420,4324620,0.581150212737942
350495,4324620,0.581164610271388
350571,4324620,0.581180254777974
350646,4324620,0.581196815707904
350722,4324620,0.581214824162905
350797,4324620,0.581233901490434
350873,4324620,0.581254661485839
350948,4324620,0.581276669712113
351024,4324620,0.581300636478161
351099,4324620,0.581326062510604
351175,4324620,0.581353770817871
351250,4324620,0.581383186586937
351326,4324620,0.581415264437835
351401,4324620,0.581449341313757
351477,4324620,0.581486525462816
351552,4324620,0.581526050442553
351628,4324620,0.581569203623053
351703,4324620,0.581615097048342
351779,4324620,0.581665226509652
351854,4324620,0.581718560735024
351930,4324620,0.581776837261274
352005,4324620,0.581838855162337
352081,4324620,0.581906631090179
352156,4324620,0.581978762527718
352232,4324620,0.582057586350413
352307,4324620,0.582141459634775
352383,4324620,0.582233083536816
352458,4324620,0.58233052756213
352534,4324620,0.58243690270754
352609,4324620,0.582549933840423
352685,4324620,0.582673186616885
352760,4324620,0.582803972911423
352836,4324620,0.582946354029825
352911,4324620,0.583097148464673
352987,4324620,0.58326094656865
353062,4324620,0.58343398165294
353138,4324620,0.583621394939137
353213,4324620,0.583818734295415
353289,4324620,0.584031698633503
353364,4324620,0.584255047870653
353440,4324620,0.584495028473988
353515,4324620,0.584745517603693
353591,4324620,0.58501328236455
353666,4324620,0.585291243123885
353742,4324620,0.585586646133175
353817,4324620,0.585891415823219
353893,4324620,0.58621322468871
353968,4324620,0.586543008926579
354044,4324620,0.586888805346254
354119,4324620,0.587240623026861
354195,4324620,0.587606792323019
354270,4324620,0.587976509199357
354346,4324620,0.588358315721064
354421,4324620,0.588740754711702
354497,4324620,0.589132483651496
354572,4324620,0.58952158758484
354648,4324620,0.589916726078788
354723,4324620,0.590305746262643
354799,4324620,0.590697179402431
354874,4324620,0.591078870425931
354950,4324620,0.591459078137465
355025,4324620,0.591825891377558
355101,4324620,0.59218714492645
355176,4324620,0.59253142527448
355252,4324620,0.592865992784573
355327,4324620,0.593180191308601
355403,4324620,0.593480567149251
355478,4324620,0.593757484664029
355554,4324620,0.59401665645522
355629,4324620,0.594249728425544
355705,4324620,0.594461487285251
355780,4324620,0.594645109083959
355856,4324620,0.594804393984602
355931,4324620,0.59493426823248
356007,4324620,0.595037515754064
356082,4324620,0.595110983155319
356158,4324620,0.595156433767814
356233,4324620,0.595172731161956
356309,4324620,0.595160629561279
356384,4324620,0.595121011925519
356460,4324620,0.595053640484016
356535,4324620,0.594961315249575
356611,4324620,0.594842822512804
356686,4324620,0.594702677792229
356762,4324620,0.594538706810896
356837,4324620,0.594356863513552
356913,4324620,0.59415403573084
356988,4324620,0.593937300680459
357064,4324620,0.593702650388701
357139,4324620,0.593457973305076
357215,4324620,0.593198437162859
357290,4324620,0.592932465926097
357366,4324620,0.592654506353969
357441,4324620,0.592373295894508
357517,4324620,0.592082688662137
357592,4324620,0.591791568043585
357668,4324620,0.591493335913175
357743,4324620,0.591196898210781
357819,4324620,0.59089534324842
357894,4324620,0.590597506351976
357970,4324620,0.590296288843881
358045,4324620,0.590000380622149
358121,4324620,0.58970260515674
358196,4324620,0.589411443043508
358272,4324620,0.589119730613277
358347,4324620,0.588835683002406
358423,4324620,0.588552223319006
358498,4324620,0.588277252320904
358574,4324620,0.588003839624278
358649,4324620,0.587739530684752
358725,4324620,0.587477589724099
358800,4324620,0.587225174894158
358876,4324620,0.586975783525168
358951,4324620,0.586736163917578
359027,4324620,0.586500076877045
359102,4324620,0.586273847705697
359178,4324620,0.586051523913959
359253,4324620,0.585839003452056
359329,4324620,0.585630637333546
359404,4324620,0.585431899570862
359480,4324620,0.58523745561208
359555,4324620,0.58505236543617
359631,4324620,0.584871614515952
359706,4324620,0.584699863818092
359782,4324620,0.584532419635456
359857,4324620,0.584373562716239
359933,4324620,0.584218916761528
360008,4324620,0.58407240364041
360084,4324620,0.583929957467884
360159,4324620,0.583795164060276
360235,4324620,0.583664258011677
360310,4324620,0.583540512530426
360386,4324620,0.583420450448323
360461,4324620,0.583307055749235
360537,4324620,0.58319712555605
360612,4324620,0.583093377443835
360688,4324620,0.582992867723445
360763,4324620,0.582898069451795
