RecID,xLCC,yLCC,date,BC,var
1,349438,4324470,201711,1.10909675089736,0.763040990701018
2,349514,4324470,201711,1.06611970987601,0.762663183359555
3,349589,4324470,201711,1.06586220825459,0.762123031089673
4,349665,4324470,201711,1.06449279199955,0.761498574083715
5,349740,4324470,201711,1.06874502166873,0.760814322263923
6,349816,4324470,201711,1.0917767058692,0.760426259685989
7,349891,4324470,201711,1.08734442146798,0.759839568048238
8,349967,4324470,201711,1.05322330580948,0.759463151705287
9,350042,4324470,201711,1.06665123702593,0.758867534295154
10,350118,4324470,201711,1.06350049196995,0.75847183962781
11,350193,4324470,201711,1.060913959211,0.758002394931765
12,350269,4324470,201711,1.12145210252935,0.757389884253741
13,350344,4324470,201711,1.12593859231244,0.756199063592487
14,350420,4324470,201711,1.12202570527278,0.755671259184506
15,350495,4324470,201711,1.11273725029607,0.755266858168873
16,350571,4324470,201711,1.12186494316629,0.754831742324383
17,350646,4324470,201711,1.09309561924016,0.754782981449543
18,350722,4324470,201711,1.09610502170824,0.754273257751301
19,350797,4324470,201711,1.10376693950142,0.753940079464658
20,350873,4324470,201711,1.23344549913862,0.753934133848228
21,350948,4324470,201711,1.14140287884387,0.753595505669154
22,351024,4324470,201711,1.12694714848859,0.752739185692429
23,351099,4324470,201711,1.04670322746383,0.75252933302993
24,351175,4324470,201711,1.02816818924649,0.752759250536891
25,351250,4324470,201711,0.975646600930296,0.754059326967087
26,351326,4324470,201711,0.808352547424563,0.756897010266196
27,351401,4324470,201711,0.808772292242521,0.756087576930945
28,351477,4324470,201711,0.809221228182342,0.755260054551712
29,351552,4324470,201711,0.807034862758008,0.754536726616156
30,351628,4324470,201711,0.811170721821044,0.753618445818069
31,351703,4324470,201711,0.811675195357773,0.752783130295153
32,351779,4324470,201711,0.812481987160787,0.751863376706941
33,351854,4324470,201711,0.81304152388638,0.751018255250076
34,351930,4324470,201711,0.813640179352695,0.7501592336515
35,352005,4324470,201711,0.814263778006776,0.749310015948561
36,352081,4324470,201711,0.798795303961472,0.748348085266554
37,352156,4324470,201711,0.799455378412697,0.747497139151134
38,352232,4324470,201711,0.801873004538569,0.746572748069412
