RecID,x,y,date,dts,obs,smvar,cnt,spd,ALL,ClusterID,GroupID,month
5.0,353813.0,4326460.0,201805,581,0.4295556199985247,,727,,0.2236297916169465,5,3,5
5.0,353813.0,4326460.0,201806,582,0.24255974838573066,,622,,0.1390036339264307,5,3,6
5.0,353813.0,4326460.0,201807,583,0.22292777693773924,,284,,0.12069393883394355,5,3,7
5.0,353813.0,4326460.0,201808,584,0.5549751861808112,,525,,0.19296438513150496,5,3,8
5.0,353813.0,4326460.0,201809,585,0.5026129779809292,,688,,0.32080904976812524,5,3,9
5.0,353813.0,4326460.0,201810,586,0.4586510744748301,,711,,0.3402890097449087,5,3,10
6.0,358465.0,4327670.0,201710,574,0.5278957995020045,,199,,0.4605677233608038,9,9,10
6.0,358465.0,4327670.0,201711,575,0.613573761832824,,590,,0.7907451806880007,9,9,11
6.0,358465.0,4327670.0,201712,576,0.968011983800635,,205,,0.7404592234288296,9,9,12
6.0,358465.0,4327670.0,201801,577,0.8674594864512742,,90,,1.1878043754033332,9,9,1
6.0,358465.0,4327670.0,201802,578,0.5259388814245229,,34,,0.15260606722147066,9,9,2
6.0,358465.0,4327670.0,201803,579,0.5242154768622723,,632,,0.4273478496426111,9,9,3
6.0,358465.0,4327670.0,201804,580,0.4601718399478298,,517,,0.4552680566663443,9,9,4
6.0,358465.0,4327670.0,201805,581,0.6406073453329478,,726,,0.4035704485717085,9,9,5
6.0,358465.0,4327670.0,201806,582,0.5607355104796694,,698,,0.3020869055836249,9,9,6
6.0,358465.0,4327670.0,201807,583,0.5217846100279702,,631,,0.6638537119322343,9,9,7
6.0,358465.0,4327670.0,201808,584,0.386915645216521,,658,,0.4566886904751675,9,9,8
6.0,358465.0,4327670.0,201809,585,0.4712275565565088,,262,,0.5408711607956865,9,9,9
6.0,358465.0,4327670.0,201810,586,0.5767019951650197,,704,,0.6627144699858099,9,9,10
8942.0,356181.89769,4325715.75308,201710,574,0.6122638823529526,0.0016442661910613626,85,20.80000000000009,0.07435700507718476,2,5,10
8942.0,356181.89769,4325715.75308,201711,575,1.0014593975904025,0.006358709661557553,83,22.34000000000001,0.18494895696418184,2,5,11
8942.0,356181.89769,4325715.75308,201802,578,0.4791960714285165,0.005190643930443638,28,20.7150000000002,0.12110302638875765,2,5,2
8942.0,356181.89769,4325715.75308,201803,579,0.6344157627117967,0.0013568782644759294,59,21.820000000000753,0.06930942286015179,2,5,3
8943.0,356222.03953,4325715.75308,201710,574,0.6199513636363729,0.00035517517885132785,242,14.024999999999993,0.07511357303703813,2,5,10
8943.0,356222.03953,4325715.75308,201711,575,0.9438155598456016,0.0017754606424560504,259,14.200000000000115,0.187708577113394,2,5,11
