RecID,x,y,date,dts,obs,smvar,cnt,spd,ALL
1.0,356980.0,4326300.0,2018,48.0,0.5667115291571623,,6140,,0.994781244289658
2.0,356449.0,4326830.0,2018,48.0,0.7870080861286403,,7300,,0.7253495624927515
3.0,356313.0,4326390.0,2018,48.0,0.6605327207150523,,6968,,0.5411346786136739
4.0,355906.0,4326690.0,2018,48.0,0.5404329196658804,,5648,,0.5179852378856703
5.0,353813.0,4326460.0,2018,48.0,0.43376988938790856,,5774,,0.2574809001954829
6.0,358465.0,4327670.0,2018,48.0,0.5550688304004452,,5946,,0.5312876030980308
8942.0,356181.89769,4325715.75308,2018,48.0,0.7294571764705825,0.0011391390077996133,255,21.69000000000005,0.1116087893981766
8943.0,356222.03953,4325715.75308,2018,48.0,0.7192029096045199,0.00035486160498981453,708,14.445000000000634,0.1128841236480324
9223.0,356101.614,4325756.00949,2018,48.0,0.6373999999999234,0.09073800000000118,2,20.205000000000428,0.11095051306741154
9224.0,356141.75584,4325756.00949,2018,48.0,0.7291151443569469,0.0007828213824727162,381,22.83000000000024,0.112130394850623
9225.0,356181.89769,4325756.00949,2018,48.0,0.7457044718309793,0.0011348246413586725,284,22.890000000000462,0.11349365230347876
9226.0,356222.03953,4325756.00949,2018,48.0,0.6599970507812478,0.00048161089968968223,512,9.545000000000083,0.1149170782673358
9506.0,356101.614,4325796.2659,2018,48.0,0.7497861538461502,0.0007683710848819423,429,22.430000000000128,0.1129455050105923
9507.0,356141.75584,4325796.2659,2018,48.0,0.8564786666666582,0.029367596880771493,15,23.51000000000068,0.11407089465274575
9509.0,356222.03953,4325796.2659,2018,48.0,0.6746253369272226,0.0008386620767651887,371,15.430000000000687,0.11699973087393414
9789.0,356101.614,4325836.52231,2018,48.0,0.7742053443526107,0.0011141698161375938,363,23.200000000000745,0.11516791341016006
9792.0,356222.03953,4325836.52231,2018,48.0,0.6378983333333316,0.0008495083271737499,366,19.80000000000038,0.11923325438630188
10072.0,356101.614,4325876.77872,2018,48.0,0.7796315406162432,0.0011479347997775929,357,25.419999999999863,0.1176000740176394
10075.0,356222.03953,4325876.77872,2018,48.0,0.64616306406685,0.0008032431169872435,359,21.679999999999982,0.1215379147510279
10355.0,356101.614,4325917.035130002,2018,48.0,0.7094433033032996,0.0008831361295995824,333,27.11000000000047,0.12037629890801327
10358.0,356222.03953,4325917.035130002,2018,48.0,0.6585636283185796,0.0009301536995817998,339,22.77999999999989,0.12412742475075435
10638.0,356101.614,4325957.2915400015,2018,48.0,0.6931658785942469,0.0008223151161529181,313,26.89000000000027,0.12339698161993595
10641.0,356222.03953,4325957.2915400015,2018,48.0,0.6574003733333312,0.0008019849236078287,375,22.249999999999925,0.1270499936397316
10921.0,356101.614,4325997.54795,2018,48.0,0.6568389454545457,0.000944130040219452,275,25.70000000000031,0.12675785799374747
10924.0,356222.03953,4325997.54795,2018,48.0,0.6184967171717108,0.0006019155586606935,396,21.074999999999896,0.1304008537804532
10939.0,356824.16719,4325997.54795,2018,48.0,0.8608000000000017,0.0,2,18.69999999999996,0.17640357285769545
10940.0,356864.30904,4325997.54795,2018,48.0,0.8608000000000017,0.0,2,18.42999999999996,0.18058076989381872
10942.0,356944.59272,4325997.54795,2018,48.0,0.5928000000000223,0.0,4,19.34999999999991,0.19855262898143825
10943.0,356984.73457,4325997.54795,2018,48.0,0.585991642228737,0.0006344792142283272,341,20.160000000000156,0.2157131351722868
10944.0,357024.87641,4325997.54795,2018,48.0,0.7176744931506839,0.0012314821775960864,365,14.660000000000739,0.24163729029178685
10945.0,357065.01826,4325997.54795,2018,48.0,0.8306025313807537,0.001207090653095399,478,9.945000000000114,0.2822552576441758
10946.0,357105.1601,4325997.54795,2018,48.0,0.8156270571010268,0.0006636146908672973,683,14.78999999999995,0.4131248679225402
11204.0,356101.614,4326037.80436,2018,48.0,0.6740196086956491,0.0010753804630296085,230,24.435000000000034,0.13053993077852571
11207.0,356222.03953,4326037.80436,2018,48.0,0.5980622105263101,0.00030209944735834683,380,19.85000000000045,0.13431770080669708
11218.0,356663.59982,4326037.80436,2018,48.0,0.6551458333333159,0.004936535189527876,12,18.37500000000017,0.16952570706202308
11219.0,356703.74166,4326037.80436,2018,48.0,0.7886950242483016,0.0005839818113727481,1031,15.199999999999873,0.17436023438057044
11220.0,356743.8835,4326037.80436,2018,48.0,0.8407436639118442,0.0016830299842970182,363,13.849999999999962,0.17847246270162115
11221.0,356784.02535,4326037.80436,2018,48.0,0.8565934036144547,0.0015479058335104965,332,19.44500000000032,0.18182269280845614
11222.0,356824.16719,4326037.80436,2018,48.0,0.8519924148606794,0.0013675007431809222,323,22.9100000000007,0.1849473618245245
11223.0,356864.30904,4326037.80436,2018,48.0,0.7925158766233718,0.001121657608060666,308,24.595000000000372,0.1890588212962762
11224.0,356904.45088,4326037.80436,2018,48.0,0.7546704892966334,0.0009154369176811211,327,24.829999999999963,0.195793271473236
11225.0,356944.59272,4326037.80436,2018,48.0,0.6575734030418241,0.0003308723743039095,1052,14.720000000000114,0.20704377360231327
11226.0,356984.73457,4326037.80436,2018,48.0,0.7175323018867901,0.0003828500561297549,1060,14.87499999999995,0.2254538741677111
11227.0,357024.87641,4326037.80436,2018,48.0,0.8633341860464989,0.003901889142733053,215,11.000000000000153,0.25197989783318026
11228.0,357065.01826,4326037.80436,2018,48.0,0.8988406557376813,0.02588145359230656,61,16.520000000000426,0.2920166825180228
11229.0,357105.1601,4326037.80436,2018,48.0,0.8698060759493682,0.0007707051343422762,1027,15.610000000000179,0.3929560236776094
