RecID,xLCC,yLCC
1,349438.0,4324470.0
2,349514.0,4324470.0
3,349589.0,4324470.0
4,349665.0,4324470.0
5,349740.0,4324470.0
6,349816.0,4324470.0
7,349891.0,4324470.0
8,349967.0,4324470.0
9,350042.0,4324470.0
10,350118.0,4324470.0
11,350193.0,4324470.0
12,350269.0,4324470.0
13,350344.0,4324470.0
14,350420.0,4324470.0
15,350495.0,4324470.0
16,350571.0,4324470.0
17,350646.0,4324470.0
18,350722.0,4324470.0
19,350797.0,4324470.0
20,350873.0,4324470.0
21,350948.0,4324470.0
22,351024.0,4324470.0
23,351099.0,4324470.0
24,351175.0,4324470.0
25,351250.0,4324470.0
26,351326.0,4324470.0
27,351401.0,4324470.0
28,351477.0,4324470.0
29,351552.0,4324470.0
30,351628.0,4324470.0
31,351703.0,4324470.0
32,351779.0,4324470.0
33,351854.0,4324470.0
34,351930.0,4324470.0
35,352005.0,4324470.0
36,352081.0,4324470.0
37,352156.0,4324470.0
38,352232.0,4324470.0
39,352307.0,4324470.0
40,352383.0,4324470.0
41,352458.0,4324470.0
42,352534.0,4324470.0
43,352609.0,4324470.0
44,352685.0,4324470.0
45,352760.0,4324470.0
46,352836.0,4324470.0
47,352911.0,4324470.0
48,352987.0,4324470.0
49,353062.0,4324470.0
50,353138.0,4324470.0
51,353213.0,4324470.0
52,353289.0,4324470.0
53,353364.0,4324470.0
54,353440.0,4324470.0
55,353515.0,4324470.0
56,353591.0,4324470.0
57,353666.0,4324470.0
58,353742.0,4324470.0
59,353817.0,4324470.0
60,353893.0,4324470.0
61,353968.0,4324470.0
62,354044.0,4324470.0
63,354119.0,4324470.0
64,354195.0,4324470.0
65,354270.0,4324470.0
66,354346.0,4324470.0
67,354421.0,4324470.0
68,354497.0,4324470.0
69,354572.0,4324470.0
70,354648.0,4324470.0
71,354723.0,4324470.0
72,354799.0,4324470.0
73,354874.0,4324470.0
74,354950.0,4324470.0
75,355025.0,4324470.0
76,355101.0,4324470.0
77,355176.0,4324470.0
78,355252.0,4324470.0
79,355327.0,4324470.0
80,355403.0,4324470.0
81,355478.0,4324470.0
82,355554.0,4324470.0
83,355629.0,4324470.0
84,355705.0,4324470.0
85,355780.0,4324470.0
86,355856.0,4324470.0
87,355931.0,4324470.0
88,356007.0,4324470.0
89,356082.0,4324470.0
90,356158.0,4324470.0
91,356233.0,4324470.0
92,356309.0,4324470.0
93,356384.0,4324470.0
94,356460.0,4324470.0
95,356535.0,4324470.0
96,356611.0,4324470.0
97,356686.0,4324470.0
98,356762.0,4324470.0
99,356837.0,4324470.0
100,356913.0,4324470.0
101,356988.0,4324470.0
102,357064.0,4324470.0
103,357139.0,4324470.0
104,357215.0,4324470.0
105,357290.0,4324470.0
106,357366.0,4324470.0
107,357441.0,4324470.0
108,357517.0,4324470.0
109,357592.0,4324470.0
110,357668.0,4324470.0
111,357743.0,4324470.0
112,357819.0,4324470.0
113,357894.0,4324470.0
114,357970.0,4324470.0
115,358045.0,4324470.0
116,358121.0,4324470.0
117,358196.0,4324470.0
118,358272.0,4324470.0
119,358347.0,4324470.0
120,358423.0,4324470.0
121,358498.0,4324470.0
122,358574.0,4324470.0
123,358649.0,4324470.0
124,358725.0,4324470.0
125,358800.0,4324470.0
126,358876.0,4324470.0
127,358951.0,4324470.0
128,359027.0,4324470.0
129,359102.0,4324470.0
130,359178.0,4324470.0
131,359253.0,4324470.0
132,359329.0,4324470.0
133,359404.0,4324470.0
134,359480.0,4324470.0
135,359555.0,4324470.0
136,359631.0,4324470.0
137,359706.0,4324470.0
138,359782.0,4324470.0
139,359857.0,4324470.0
140,359933.0,4324470.0
141,360008.0,4324470.0
142,360084.0,4324470.0
