RecID,x,y,lur
1.0,356980.0,4326300.0,0.7277059196743058
2.0,356449.0,4326830.0,1.4722972646662256
3.0,356313.0,4326390.0,0.42279616648297536
4.0,355906.0,4326690.0,0.7831091422785527
5.0,353813.0,4326460.0,0.3136584963860932
6.0,358465.0,4327670.0,0.3610640319495806
8942.0,356181.89769,4325715.75308,0.31058382103825793
8943.0,356222.03953,4325715.75308,0.31065751417206644
9223.0,356101.614,4325756.00949,0.3107615714003136
9224.0,356141.75584,4325756.00949,0.310861198966828
9225.0,356181.89769,4325756.00949,0.3109659188477777
9226.0,356222.03953,4325756.00949,0.31106626073099874
9506.0,356101.614,4325796.2659,0.311142657794343
9507.0,356141.75584,4325796.2659,0.3112764972654039
9509.0,356222.03953,4325796.2659,0.31153081686442713
9789.0,356101.614,4325836.52231,0.3116903695479999
9792.0,356222.03953,4325836.52231,0.3121642413469935
10072.0,356101.614,4325876.77872,0.3124585527048145
10075.0,356222.03953,4325876.77872,0.3130732204117381
10355.0,356101.614,4325917.035130002,0.3136237338128866
10358.0,356222.03953,4325917.035130002,0.3143823191754793
10638.0,356101.614,4325957.2915400015,0.3154265400336317
10641.0,356222.03953,4325957.2915400015,0.31633809387567985
10921.0,356101.614,4325997.54795,0.318264107737212
10924.0,356222.03953,4325997.54795,0.31931428222087743
10939.0,356824.16719,4325997.54795,0.3295004693946221
10940.0,356864.30904,4325997.54795,0.3355009144957805
10942.0,356944.59271999996,4325997.54795,0.364178555162974
10943.0,356984.73457,4325997.54795,0.3950979350083428
10944.0,357024.87640999997,4325997.54795,0.4469816899175055
10945.0,357065.01826,4325997.54795,0.5322054211812912
10946.0,357105.1601,4325997.54795,0.6638030994801873
11204.0,356101.614,4326037.8043599995,0.3228710649981899
11207.0,356222.03953,4326037.8043599995,0.3239161245342615
11218.0,356663.59982,4326037.8043599995,0.3296036398341435
11219.0,356703.74166,4326037.8043599995,0.32973851812407245
11220.0,356743.8835,4326037.8043599995,0.33068284436689915
11221.0,356784.02535,4326037.8043599995,0.3326815307825225
11222.0,356824.16719,4326037.8043599995,0.3362542015446086
11223.0,356864.30904,4326037.8043599995,0.3426669225992265
11224.0,356904.45088,4326037.8043599995,0.3537866661142459
11225.0,356944.59271999996,4326037.8043599995,0.3725011445433281
11226.0,356984.73457,4326037.8043599995,0.4035333487406066
11227.0,357024.87640999997,4326037.8043599995,0.4551688245817054
11228.0,357065.01826,4326037.8043599995,0.5388585571032987
11229.0,357105.1601,4326037.8043599995,0.6659249195045649
11487.0,356101.614,4326078.060769999,0.3304587541514845
11490.0,356222.03953,4326078.060769999,0.3310074820601003
11501.0,356663.59982,4326078.060769999,0.3403248434539907
11502.0,356703.74166,4326078.060769999,0.3403898647621987
11508.0,356944.59271999996,4326078.060769999,0.3864843960302977
11509.0,356984.73457,4326078.060769999,0.4176886851738367
11512.0,357105.1601,4326078.060769999,0.6677937333376901
11769.0,356061.47216,4326118.31719,0.3398871892470608
11770.0,356101.614,4326118.31719,0.3430471181596977
11771.0,356141.75584,4326118.31719,0.34407630437955905
11772.0,356181.89769,4326118.31719,0.3438512645760661
11773.0,356222.03953,4326118.31719,0.3425806584410697
11785.0,356703.74166,4326118.31719,0.35800186124363115
11786.0,356743.8835,4326118.31719,0.3583337847934671
11787.0,356784.02535,4326118.31719,0.3601669649690151
11788.0,356824.16719,4326118.31719,0.3652940929152539
11789.0,356864.30904,4326118.31719,0.3740629856228013
11790.0,356904.45088,4326118.31719,0.3881730057867322
11791.0,356944.59271999996,4326118.31719,0.4109752864003888
11792.0,356984.73457,4326118.31719,0.44223214122994703
11795.0,357105.1601,4326118.31719,0.6852619163429138
12053.0,356101.614,4326158.5736,0.3644330742364408
12067.0,356663.59982,4326158.5736,0.38244998848189415
12068.0,356703.74166,4326158.5736,0.3870704347942846
12069.0,356743.8835,4326158.5736,0.3872722822515104
12070.0,356784.02535,4326158.5736,0.38963516695274497
12071.0,356824.16719,4326158.5736,0.3956812168333528
12072.0,356864.30904,4326158.5736,0.4064464772015949
12073.0,356904.45088,4326158.5736,0.4242585029478804
12074.0,356944.59271999996,4326158.5736,0.4519844424626138
12075.0,356984.73457,4326158.5736,0.4837110914951217
12076.0,357024.87640999997,4326158.5736,0.5199127868631634
12077.0,357065.01826,4326158.5736,0.5944833863251329
12078.0,357105.1601,4326158.5736,0.7182371420585932
12336.0,356101.614,4326198.83001,0.3976338187507983
12337.0,356141.75584,4326198.83001,0.3915639951159105
12338.0,356181.89769,4326198.83001,0.3916745731616572
12339.0,356222.03953,4326198.83001,0.3834162147051165
12340.0,356262.18138,4326198.83001,0.3800047493500257
12341.0,356302.32321999996,4326198.83001,0.3833047505880556
12342.0,356342.46506,4326198.83001,0.3868382691920116
12343.0,356382.60691,4326198.83001,0.3824144976044483
12344.0,356422.74875,4326198.83001,0.3769296609695542
12345.0,356462.8906,4326198.83001,0.3773192377344951
12346.0,356503.03244,4326198.83001,0.3766093452041745
12347.0,356543.1742800001,4326198.83001,0.37814134368595703
12348.0,356583.31613,4326198.83001,0.3828510061494563
12349.0,356623.45797,4326198.83001,0.38867233087243946
12350.0,356663.59982,4326198.83001,0.3968382256239429
12351.0,356703.74166,4326198.83001,0.3981167949859107
12354.0,356824.16719,4326198.83001,0.4084049390051549
12560.0,353733.24520999996,4326239.08642,0.3567021266633533
12561.0,353773.38705,4326239.08642,0.35777379005525073
12562.0,353813.52889,4326239.08642,0.3643512935744721
12563.0,353853.6707400001,4326239.08642,0.3591564129410176
12564.0,353893.81258,4326239.08642,0.3571992884059461
